"name","census_count"
"glenn",51043
"cisneros",50920
"harrell",50837
"shields",50832
"rubio",50788
"huffman",50786
"choi",50786
"boyer",50742
"garrison",50686
"arroyo",50614
"bond",50610
"kane",50584
"hancock",50558
"callahan",50524
"dillon",50465
"cline",50258
"wiggins",50247
"grimes",50245
"arellano",50104
"melton",50069
"oneill",50028
"savage",49914
"ho",49817
"beltran",49776
"pitts",49740
"parrish",49733
"ponce",49549
"rich",49481
"booth",49402
"koch",49395
"golden",49360
"ware",49316
"brennan",49238
"mcdowell",49217
"marks",49177
"cantu",49126
"humphrey",49056
"baxter",49033
"sawyer",49028
"clay",48844
"tanner",48813
"hutchinson",48781
"kaur",48753
"berg",48746
"wiley",48720
"gilmore",48719
"russo",48696
"villegas",48599
"hobbs",48522
"keith",48487
"wilkerson",48444
"ahmed",48319
"beard",48207
"mcclain",48165
"montes",48142
"mata",48120
"rosario",48051
"vang",48036
"walter",48024
"henson",48013
"oneal",47979
"mosley",47963
"mcclure",47742
"beasley",47693
"stephenson",47641
"snow",47528
"huerta",47455
"preston",47367
"vance",47324
"barry",47274
"johns",47246
"eaton",47184
"blackwell",47175
"dyer",47170
"prince",47168
"macdonald",46717
"solomon",46534
"guevara",46454
"stafford",46394
"english",46393
"hurst",46244
"woodard",46240
"cortes",46229
"shannon",46147
"kemp",46146
"nolan",46054
"mccullough",45852
"merritt",45594
"murillo",45558
"moon",45528
"salgado",45469
"strong",45432
"kline",45390
"cordova",45305
"barajas",45153
"roach",45019
"rosas",44938
"winters",44914
"jacobson",44808
"lester",44784
"knox",44742
"bullock",44740
"kerr",44711
"leach",44581
"meadows",44500
"orr",44388
"davila",44388
"whitehead",44373
"pruitt",44365
"kent",44325
"conway",44320
"mckee",44137
"barr",44130
"david",44040
"dejesus",44038
"marin",43904
"berger",43851
"mcintyre",43842
"blankenship",43830
"gaines",43821
"palacios",43798
"cuevas",43701
"bartlett",43648
"durham",43635
"dorsey",43631
"mccall",43483
"odonnell",43460
"stein",43389
"browning",43329
"stout",43305
"lowery",43278
"sloan",43261
"mclean",43260
"hendricks",43197
"calhoun",43180
"sexton",43133
"chung",43110
"gentry",43027
"hull",43018
"duarte",42983
"ellison",42827
"nielsen",42773
"gillespie",42693
"buck",42639
"middleton",42578
"sellers",42577
"leblanc",42575
"esparza",42559
"hardin",42469
"bradshaw",42465
"mcintosh",42379
"howe",42265
"livingston",42103
"frost",42015
"glass",41802
"morse",41774
"knapp",41771
"herman",41750
"stark",41735
"bravo",41700
"noble",41667
"spears",41665
"weeks",41565
"corona",41553
"frederick",41394
"buckley",41348
"mcfarland",41300
"hebert",41275
"enriquez",41271
"hickman",41163
"quintero",41158
"randolph",41129
"schaefer",41063
"walls",41025
"trejo",41021
"house",41000
"reilly",40884
"pennington",40854
"michael",40736
"conrad",40707
"giles",40598
"benjamin",40590
"crosby",40563
