"name","census_count"
"pamella",2251
"richard",1285448
"veda",2475
"jerilyn",3192
"margot",4021
"melodie",7061
"aurelia",2530
"danielle",225934
"magdalena",6331
"margarett",1097
"tammy",327801
"aline",2123
"candis",3919
"delma",2633
"donnie",41581
"juliet",7353
"mara",9003
"phillis",1663
"vernice",2036
"alene",1439
"cristina",29641
"juliann",4243
"pennie",4115
"enid",2270
"glynda",1237
"karolyn",2837
"kendra",50011
"marianna",3885
"nicolette",5990
"norene",1117
"roselyn",2460
"socorro",3089
"clarissa",14441
"geri",6563
"merrie",1741
"nannie",982
"rosann",1723
"vanessa",141057
"vonnie",1702
"allie",3539
"sheron",2441
"shirlee",1313
"charolette",1629
"debbra",3488
"dorinda",3726
"ernestina",2400
"joycelyn",3269
"lavon",3673
"leora",1888
"lindy",6280
"lucile",1071
"marjory",1240
"nicole",394535
"shellie",8894
"velda",2123
"albertha",780
"annamarie",5245
"jannette",3203
"jeanetta",2777
"jenifer",19037
"jodie",24797
"luz",13305
"marlyn",2347
"norine",1553
"rachael",45886
"sandi",8002
"zella",1025
"amber",224325
"elinor",1726
"flossie",1109
"lourdes",8907
"marty",30998
"stacey",148105
"carmelita",3448
"cheryll",1945
"cordelia",2065
"darline",2102
"elissa",8656
"geralyn",4388
"jaclyn",32530
"janey",2197
"tracey",90594
"carrol",2095
"emilie",5582
"evon",2161
"kathyrn",1913
"leslee",3658
"lolita",5522
"maude",1213
"regenia",1775
"thea",4292
"evonne",3085
"janeen",5339
"lavern",4789
"noel",25562
"gaynell",1550
"karyl",1241
"laurene",2168
"pearline",1213
"susana",11216
"thomas",1168712
"trina",29105
"candyce",2089
"deann",8791
"edythe",1126
"gwenda",1568
"joleen",4546
"laraine",1466
"lawanda",9864
"marita",2632
"melvina",2022
"lorelei",3393
"alva",3595
"arline",1399
"drucilla",1081
"georgeann",1221
"georgie",1857
"jeraldine",917
"maura",10943
"niki",5146
"berta",1943
"gene",44595
"gussie",926
"jacqulyn",2405
"joetta",2113
"lonna",2151
"marilou",1258
"phylis",1051
"allene",1117
"nila",1596
"pauletta",1520
"roma",1523
"sidney",26768
"trudi",2660
"venita",3241
"annemarie",7625
"charline",1854
"ellyn",1901
"jann",1798
"kathern",1490
"lidia",3750
"lorie",20758
"lura",1652
"marylin",1335
"theda",1090
"ursula",8123
"collette",4527
"drema",1754
"erin",218156
"fonda",3068
"francene",1087
"katy",11251
"lani",3714
"louann",3638
"maurine",1058
"sharleen",1551
"starr",4739
"vida",1965
"allyson",17461
"germaine",4222
"ginny",5458
"karlene",2383
"luana",1753
"pamelia",1550
"shiela",3523
"suzanna",5471
"tonia",20551
"angelia",18850
"dessie",1360
"joette",1624
